"pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest"
1,"0","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)","female",25.0,1,2,113781,151.55,"C22 C26","S",,,"Montreal, PQ / Chesterville, ON"
1,"1","Anderson, Mr. Harry","male",48.0,0,0,19952,26.55,"E12","S","3",,"New York, NY"
1,"0","Andrews, Mr. Thomas Jr","male",39.0,0,0,112050,0.0,"A36","S",,,"Belfast, NI"
1,"1","Bazzani, Miss. Albina","female",32.0,0,0,11813,76.2917,"D15","C","8",,
1,"1","Bissette, Miss. Amelia","female",35.0,0,0,,135.6333,"C99","S","8",,
1,"0","Blackwell, Mr. Stephen Weart","male",45.0,0,0,113784,35.5,"T","S",,,"Trenton, NJ"
1,"0","Brandeis, Mr. Emil","male",48.0,0,0,,50.4958,"B10","C",,208,"Omaha, NE"
1,"0","Butt, Major. Archibald Willingham","male",45.0,0,0,113050,26.55,"B38","S",,,"Washington, DC"
1,"1","Cardeza, Mr. Thomas Drake Martinez","male",36.0,0,1,,512.3292,"B51 B53 B55","C","3",,"Austria-Hungary / Germantown, Philadelphia, PA"
1,"1","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)","female",76.0,1,0,19877,78.85,"C46","S","6",,"Little Onn Hall, Staffs"
1,"1","Chibnall, Mrs. (Edith Martha Bowerman)","female",,0,1,113505,55.0,"E33","S","6",,"St Leonards-on-Sea, England Ohio"
1,"0","Clifford, Mr. George Quincy","male",,0,0,110465,52.0,"A14","S",,,"Stoughton, MA"
1,"0","Crafton, Mr. John Bertram","male",,0,0,113791,26.55,,"S",,,"Roachdale, IN"
1,"1","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)","female",64.0,1,1,112901,26.55,"B26","S","7",,"Milwaukee, WI"
1,"0","Cumings, Mr. John Bradley","male",39.0,1,0,,71.2833,"C85","C",,,"New York, NY"
1,"1","Daniel, Mr. Robert Williams","male",27.0,0,0,113804,30.5,,"S","3",,"Philadelphia, PA"
1,"1","Eustis, Miss. Elizabeth Mussey","female",54.0,1,0,36947,78.2667,"D20","C","4",,"Brookline, MA"
1,"0","Farthing, Mr. John","male",,0,0,,221.7792,"C95","S",,,
1,"1","Flynn, Mr. John Irwin (""Irving"")","male",36.0,0,0,,26.3875,"E25","S","5",,"Brooklyn, NY"
1,"1","Fortune, Miss. Mabel Helen","female",23.0,3,2,19950,263.0,"C23 C25 C27","S","10",,"Winnipeg, MB"
1,"1","Fortune, Mrs. Mark (Mary McDougald)","female",60.0,1,4,19950,263.0,"C23 C25 C27","S","10",,"Winnipeg, MB"
1,"1","Francatelli, Miss. Laura Mabel","female",30.0,0,0,,56.9292,"E36","C","1",,
1,"1","Frauenthal, Mr. Isaac Gerald","male",43.0,1,0,17765,27.7208,"D40","C","5",,"New York, NY"
1,"0","Futrelle, Mr. Jacques Heath","male",37.0,1,0,113803,53.1,"C123","S",,,"Scituate, MA"
1,"1","Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35.0,1,0,113803,53.1,"C123","S",,,"Scituate, MA"
1,"1","Geiger, Miss. Amalie","female",35.0,0,0,113503,211.5,"C130","C","4",,
1,"0","Giglio, Mr. Victor","male",24.0,0,0,,79.2,"B86","C",,,
1,"1","Graham, Miss. Margaret Edith","female",19.0,0,0,112053,30.0,"B42","S","3",,"Greenwich, CT"
1,"0","Graham, Mr. George Edward","male",38.0,0,1,,153.4625,"C91","S",,147,"Winnipeg, MB"
1,"1","Graham, Mrs. William Thompson (Edith Junkins)","female",58.0,0,1,,153.4625,"C125","S","3",,"Greenwich, CT"
1,"0","Harris, Mr. Henry Birkhardt","male",45.0,1,0,36973,83.475,"C83","S",,,"New York, NY"
1,"0","Harrison, Mr. William","male",40.0,0,0,112059,0.0,"B94","S",,110,
1,"1","Hawksford, Mr. Walter James","male",,0,0,16988,30.0,"D45","S","3",,"Kingston, Surrey"
1,"0","Hilliard, Mr. Herbert Henry","male",,0,0,17463,51.8625,"E46","S",,,"Brighton, MA"
1,"1","Hippach, Miss. Jean Gertrude","female",16.0,0,1,111361,57.9792,"B18","C","4",,"Chicago, IL"
1,"1","Hippach, Mrs. Louis Albert (Ida Sophia Fischer)","female",44.0,0,1,111361,57.9792,"B18","C","4",,"Chicago, IL"
1,"1","Hogeboom, Mrs. John C (Anna Andrews)","female",51.0,1,0,13502,77.9583,"D11","S","10",,"Hudson, NY"
1,"0","Holverson, Mr. Alexander Oskar","male",42.0,1,0,113789,52.0,,"S",,38,"New York, NY"
1,"0","Isham, Miss. Ann Elizabeth","female",50.0,0,0,,28.7125,"C49","C",,,"Paris, France New York, NY"
1,"0","Keeping, Mr. Edwin","male",32.5,0,0,113503,211.5,"C132","C",,45,
1,"1","Kimball, Mr. Edwin Nelson Jr","male",42.0,1,0,11753,52.5542,"D19","S","5",,"Boston, MA"
1,"1","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)","female",45.0,1,0,11753,52.5542,"D19","S","5",,"Boston, MA"
1,"1","Kreuchen, Miss. Emilie","female",39.0,0,0,24160,211.3375,,"S","2",,
1,"1","Lindstrom, Mrs. Carl Johan (Sigrid Posse)","female",55.0,0,0,112377,27.7208,,"C","6",,"Stockholm, Sweden"
1,"0","Loring, Mr. Joseph Holland","male",30.0,0,0,113801,45.5,,"S",,,"London / New York, NY"
1,"1","Madill, Miss. Georgette Alexandra","female",15.0,0,1,24160,211.3375,"B5","S","2",,"St Louis, MO"
1,"0","Marvin, Mr. Daniel Warner","male",19.0,1,0,113773,53.1,"D30","S",,,"New York, NY"
1,"1","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)","female",18.0,1,0,113773,53.1,"D30","S","10",,"New York, NY"
